DateTime,Temperatur,Luftfugtighed,Middelvindhastighed,Højeste vindstød,Nedbør,Sigtbarhed
3/1/2025 0:00,-1,100,1,"2,5",0,100
3/1/2025 1:00,"-1,7",100,"1,1","2,1",0,100
3/1/2025 2:00,"-1,9",100,2,"2,7",0,100
3/1/2025 3:00,"-2,3",100,"1,4","2,3",0,200
3/1/2025 4:00,"-2,6",100,"1,6","2,9",0,300
3/1/2025 5:00,"-2,5",100,"1,5","2,8",0,500
3/1/2025 6:00,"-1,3",100,1,"1,9",0,400
3/1/2025 7:00,"-0,5",100,2,"5,4",0,400
3/1/2025 8:00,"-0,3",100,"2,1","4,2",0,400
3/1/2025 9:00,"1,2",100,"2,2","5,3",0,600
3/1/2025 10:00,"2,8",100,"2,9","5,8",0,16000
3/1/2025 11:00,"3,5",100,"2,5",5,0,23000
3/1/2025 12:00,"5,9",81,"2,2","4,8",0,30000
3/1/2025 13:00,"7,2",69,3,"6,5",0,30000
3/1/2025 14:00,"7,1",70,3,"6,4",0,40000
3/1/2025 15:00,7,69,"4,1","7,3",0,40000
3/1/2025 16:00,"7,1",69,"3,8","6,4",0,40000
3/1/2025 17:00,"6,6",71,4,"7,1",0,45000
3/1/2025 18:00,5,80,"3,8","6,5",0,50000
3/1/2025 19:00,"3,2",88,3,"5,4",0,45000
3/1/2025 20:00,"2,4",92,"3,7","6,7",0,40000
3/1/2025 21:00,"2,5",94,"3,2","5,1",0,20000
3/1/2025 22:00,"2,8",94,"3,7","6,2",0,16000
3/1/2025 23:00,"3,2",94,"3,5","6,6",0,16000
3/2/2025 0:00,"3,7",92,"3,5","7,2",0,18000
3/2/2025 1:00,"4,3",91,"3,7","7,8",0,20000
3/2/2025 2:00,"4,6",92,"3,8","6,6",0,16000
3/2/2025 3:00,"4,6",93,"3,6","6,9",0,12000
3/2/2025 4:00,"4,8",92,3,"5,9",0,16000
3/2/2025 5:00,"4,9",91,"2,2","4,7",0,17000
3/2/2025 6:00,"4,3",91,3,"5,2",0,16000
3/2/2025 7:00,4,90,"3,1","5,4",0,15000
3/2/2025 8:00,"3,4",93,"2,6","3,9",0,13000
3/2/2025 9:00,"4,3",88,"3,2","5,2",0,18000
3/2/2025 10:00,"5,3",80,"4,3","6,3",0,24000
3/2/2025 11:00,"6,8",73,"4,3","7,4",0,25000
3/2/2025 12:00,"8,1",59,"5,1","8,4",0,26000
3/2/2025 13:00,"8,1",62,"5,5","10,3",0,30000
3/2/2025 14:00,"8,6",59,"5,8","9,8",0,30000
3/2/2025 15:00,"8,8",59,"5,4","10,5",0,30000
3/2/2025 16:00,"7,5",64,"6,4","12,7",0,45000
3/2/2025 17:00,"6,7",66,"6,3","10,2",0,50000
3/2/2025 18:00,"5,7",72,"4,2","7,9",0,35000
3/2/2025 19:00,5,76,"4,3","8,2",0,35000
3/2/2025 20:00,"4,4",82,"4,1","7,6",0,40000
3/2/2025 21:00,"3,9",86,"3,9","6,2",0,35000
3/2/2025 22:00,"4,6",80,5,9,0,50000
3/2/2025 23:00,"4,8",82,"4,7","8,4",0,50000
3/3/2025 0:00,"5,1",81,"6,3","12,4",0,40000
3/3/2025 1:00,"5,1",81,"6,9","11,8",0,50000
3/3/2025 2:00,"4,7",80,"4,9","9,4",0,50000
3/3/2025 3:00,"4,9",83,"5,1","8,4",0,40000
3/3/2025 4:00,"4,7",85,"4,1","6,7",0,30000
3/3/2025 5:00,"4,8",87,"5,1","9,2",0,26000
3/3/2025 6:00,5,87,"5,7","8,6",0,21000
3/3/2025 7:00,"5,3",86,"4,6","6,8",0,22000
3/3/2025 8:00,"5,8",84,4,"7,5",0,27000
3/3/2025 9:00,"6,2",79,"5,6","8,9",0,29000
3/3/2025 10:00,7,75,"5,8",13,0,35000
3/3/2025 11:00,"7,4",76,"5,6","11,7",0,28000
3/3/2025 12:00,"7,5",78,"5,2","9,4",0,24000
3/3/2025 13:00,8,78,"6,8","11,6",0,25000
3/3/2025 14:00,"7,9",77,"5,5","10,3",0,24000
3/3/2025 15:00,"8,4",78,"5,1","10,1",0,23000
3/3/2025 16:00,"7,6",79,"5,6","12,1",0,23000
3/3/2025 17:00,"7,4",82,"5,4",8,0,26000
3/3/2025 18:00,6,87,"4,7","7,6",0,18000
3/3/2025 19:00,"5,9",88,"4,1",7,0,17000
3/3/2025 20:00,"5,4",90,"4,2","6,3",0,17000
3/3/2025 21:00,"5,4",92,"4,1","6,4",0,17000
3/3/2025 22:00,6,88,"4,9","8,7",0,22000
3/3/2025 23:00,"5,7",88,"5,5","7,9",0,30000
3/4/2025 0:00,"5,6",92,"6,6","9,7",0,20000
3/4/2025 1:00,"5,7",89,"6,1","10,9",0,40000
3/4/2025 2:00,"5,9",87,"5,5","9,3",0,30000
3/4/2025 3:00,"5,7",85,"5,7","10,1",0,30000
3/4/2025 4:00,5,88,"5,5","9,1",0,23000
3/4/2025 5:00,"4,6",89,"5,7","9,3",0,20000
3/4/2025 6:00,5,92,"4,5","7,5",0,23000
3/4/2025 7:00,"5,7",92,"4,8","8,3",0,20000
3/4/2025 8:00,"6,2",90,"4,9","8,9",0,21000
3/4/2025 9:00,"6,8",86,"4,8","9,2",0,25000
3/4/2025 10:00,7,79,"6,7","11,9",0,29000
3/4/2025 11:00,8,77,"5,8","11,8",0,35000
3/4/2025 12:00,"9,2",74,"6,4","11,6",0,40000
3/4/2025 13:00,"8,9",75,"5,4","11,2",0,45000
3/4/2025 14:00,"9,5",74,6,"10,6",0,45000
3/4/2025 15:00,"9,7",72,"5,6","10,1",0,45000
3/4/2025 16:00,9,76,"4,5","8,3",0,45000
3/4/2025 17:00,8,80,"4,3","7,7",0,40000
3/4/2025 18:00,"7,4",80,"4,6","8,5",0,45000
3/4/2025 19:00,"6,9",80,"5,3","8,9",0,40000
3/4/2025 20:00,"6,8",78,"5,9",10,0,40000
3/4/2025 21:00,"6,2",78,"5,4","9,2",0,40000
3/4/2025 22:00,6,78,"7,2","12,8",0,40000
3/4/2025 23:00,6,77,"7,6","13,3",0,35000
3/5/2025 0:00,"5,9",79,"6,9","11,1",0,30000
3/5/2025 1:00,"5,8",80,"7,3","11,6",0,26000
3/5/2025 2:00,"5,4",82,"7,5",11,0,21000
3/5/2025 3:00,"5,1",80,"6,2","11,3",0,21000
3/5/2025 4:00,"5,4",75,"7,1","12,7",0,24000
3/5/2025 5:00,5,74,"5,3","8,3",0,22000
3/5/2025 6:00,"5,2",72,"6,7","11,1",0,22000
3/5/2025 7:00,"4,9",74,"6,2","9,5",0,17000
3/5/2025 8:00,"5,3",75,"5,9","10,1",0,15000
3/5/2025 9:00,"6,1",73,"6,2","9,8",0,16000
3/5/2025 10:00,7,73,"7,1","10,9",0,16000
3/5/2025 11:00,"8,2",71,"6,3","9,5",0,18000
3/5/2025 12:00,"9,8",69,"7,7","12,6",0,21000
3/5/2025 13:00,"10,8",69,"7,4","12,4",0,21000
3/5/2025 14:00,"11,2",68,8,"12,8",0,22000
3/5/2025 15:00,"11,2",70,"7,4","12,5",0,26000
3/5/2025 16:00,11,73,"8,5","14,2",0,35000
3/5/2025 17:00,"10,3",72,"8,1","13,8",0,26000
3/5/2025 18:00,9,71,"6,1","11,7",0,30000
3/5/2025 19:00,"7,2",73,6,"10,6",0,24000
3/5/2025 20:00,"6,1",68,"6,7","12,1",0,21000
3/5/2025 21:00,"5,9",66,"4,8","8,3",0,23000
3/5/2025 22:00,"5,9",65,"4,6","7,3",0,26000
3/5/2025 23:00,"5,5",67,"4,6","6,9",0,24000
3/6/2025 0:00,"5,4",69,"5,3","8,6",0,23000
3/6/2025 1:00,"5,1",72,"4,5","7,7",0,17000
3/6/2025 2:00,"4,9",75,"4,2","7,1",0,16000
3/6/2025 3:00,"4,7",77,"4,4","6,7",0,16000
3/6/2025 4:00,"4,3",80,"4,3","8,6",0,13000
3/6/2025 5:00,4,81,"3,1","5,1",0,12000
3/6/2025 6:00,"3,8",83,"3,6","4,6",0,11000
3/6/2025 7:00,"3,4",84,"2,6","4,5",0,10000
3/6/2025 8:00,"3,8",83,"2,9","4,4",0,10000
3/6/2025 9:00,"5,9",78,"3,1","4,5",0,10000
3/6/2025 10:00,"7,4",72,5,"7,8",0,11000
3/6/2025 11:00,"9,4",63,"4,3","6,6",0,13000
3/6/2025 12:00,"11,6",52,"4,3","6,5",0,18000
3/6/2025 13:00,"12,7",49,"6,2","9,3",0,20000
3/6/2025 14:00,"13,5",47,"5,9",9,0,27000
3/6/2025 15:00,"13,7",42,6,10,0,24000
3/6/2025 16:00,"13,1",48,"5,3","7,2",0,18000
3/6/2025 17:00,"11,8",52,"4,4","6,9",0,18000
3/6/2025 18:00,"9,5",59,"3,9","5,3",0,13000
3/6/2025 19:00,"7,5",70,"3,1","3,9",0,9000
3/6/2025 20:00,"5,9",75,"2,4","3,8",0,7000
3/6/2025 21:00,"5,8",74,"2,9","4,1",0,8000
3/6/2025 22:00,"5,3",78,3,"4,4",0,7000
3/6/2025 23:00,"5,3",80,"2,1","3,8",0,6000
3/7/2025 0:00,"5,1",82,"2,9","4,2",0,6000
3/7/2025 1:00,"5,2",83,"2,6",4,0,6000
3/7/2025 2:00,"4,9",85,"2,6",4,0,5000
3/7/2025 3:00,"5,3",83,"3,1","4,9",0,6000
3/7/2025 4:00,"4,5",82,"1,7","3,1",0,6000
3/7/2025 5:00,"4,1",85,"2,2","3,3",0,6000
3/7/2025 6:00,"1,6",95,"1,3","1,8",0,1900
3/7/2025 7:00,"0,9",94,"0,7","1,5",0,2000
3/7/2025 8:00,2,98,"1,3","1,8",0,1800
3/7/2025 9:00,"7,5",77,"0,9","1,5",0,6000
3/7/2025 10:00,"8,6",69,"2,2","3,8",0,10000
3/7/2025 11:00,"9,6",68,"3,6","4,6",0,11000
3/7/2025 12:00,"12,4",59,3,"4,2",0,13000
3/7/2025 13:00,"13,2",50,"4,6","5,8",0,19000
3/7/2025 14:00,14,49,"4,1","6,4",0,18000
3/7/2025 15:00,"14,4",48,"3,4","5,1",0,17000
3/7/2025 16:00,"14,3",50,"4,5","7,1",0,22000
3/7/2025 17:00,13,53,"3,2","4,4",0,24000
3/7/2025 18:00,12,54,"2,5","3,9",0,24000
3/7/2025 19:00,"8,6",69,"1,8","2,7",0,19000
3/7/2025 20:00,"9,2",64,"2,4","4,4",0,26000
3/7/2025 21:00,"7,9",72,"3,1","3,9",0,19000
3/7/2025 22:00,"8,3",71,"2,3","3,2",0,16000
3/7/2025 23:00,"7,6",74,"2,6","3,5",0,14000
3/8/2025 0:00,"4,8",84,"0,8","1,8",0,10000
3/8/2025 1:00,3,91,"0,6",1,0,7000
3/8/2025 2:00,"3,5",94,"1,2","2,2",0,6000
3/8/2025 3:00,2,94,"0,5","0,9",0,2600
3/8/2025 4:00,"1,1",96,"0,5","0,8",0,2900
3/8/2025 5:00,"0,5",98,"0,9","1,1",0,2400
3/8/2025 6:00,"0,1",98,"0,8","1,1",0,2400
3/8/2025 7:00,"-0,2",99,"0,7",1,0,1200
3/8/2025 8:00,"1,4",99,0,"0,5",0,1700
3/8/2025 9:00,"4,1",99,"0,4","0,7",0,4800
3/8/2025 10:00,"8,1",80,1,"1,9",0,9000
3/8/2025 11:00,"10,1",68,"1,9",3,0,12000
3/8/2025 12:00,12,65,"1,9","3,3",0,13000
3/8/2025 13:00,"11,8",64,"2,2","3,8",0,11000
3/8/2025 14:00,"11,3",66,"2,1","3,9",0,12000
3/8/2025 15:00,"11,3",66,"1,4","2,6",0,14000
3/8/2025 16:00,11,67,"1,5","3,3",0,12000
3/8/2025 17:00,"8,6",73,"1,8","3,1",0,10000
3/8/2025 18:00,"7,5",78,"1,7","2,6",0,8000
3/8/2025 19:00,"5,1",87,"1,2","1,8",0,6000
3/8/2025 20:00,"4,1",93,1,"1,8",0,4300
3/8/2025 21:00,"2,8",96,"0,6","0,8",0,1200
3/8/2025 22:00,"1,5",98,"0,4","0,7",0,600
3/8/2025 23:00,"1,2",99,"0,4","0,5",0,900
3/9/2025 0:00,"0,6",99,"0,4","0,7",0,900
3/9/2025 1:00,"0,1",99,"0,4","0,6",0,800
3/9/2025 2:00,"-0,4",99,"0,3","0,5",0,900
3/9/2025 3:00,"-0,8",100,"0,3","0,7",0,100
3/9/2025 4:00,"-0,5",100,"0,6","0,9",0,100
3/9/2025 5:00,"-0,6",100,"0,4","0,7",0,100
3/9/2025 6:00,"-0,5",100,"0,6","0,8",0,200
3/9/2025 7:00,"-0,7",100,0,"0,5",0,50
3/9/2025 8:00,1,100,"0,4","0,7",0,50
3/9/2025 9:00,"3,5",100,"0,9","1,6",0,100
3/9/2025 10:00,"4,7",100,"1,3","2,1",0,900
3/9/2025 11:00,7,84,"1,6","2,4",0,8000
3/9/2025 12:00,"9,4",69,"1,5","2,8",0,10000
3/9/2025 13:00,"11,1",58,"2,1","3,7",0,10000
3/9/2025 14:00,"11,7",52,"2,4","4,2",0,16000
3/9/2025 15:00,"12,3",52,"2,1","3,9",0,16000
3/9/2025 16:00,"11,7",52,"2,2","3,8",0,19000
3/9/2025 17:00,"10,5",58,"2,2","4,3",0,18000
3/9/2025 18:00,"8,9",66,"1,7","2,6",0,15000
3/9/2025 19:00,"6,5",78,"1,8","2,8",0,10000
3/9/2025 20:00,"4,9",82,"1,5","2,4",0,7000
3/9/2025 21:00,"3,4",92,"1,6","2,2",0,3800
3/9/2025 22:00,"2,8",92,"1,7","2,6",0,4000
3/9/2025 23:00,3,94,"1,4","2,6",0,4200
3/10/2025 0:00,"2,2",95,1,"1,8",0,2500
3/10/2025 1:00,"2,7",94,"2,4","3,7",0,5000
3/10/2025 2:00,"2,6",91,1,"2,1",0,7000
3/10/2025 3:00,"0,6",96,"1,4","1,9",0,2300
3/10/2025 4:00,"0,1",98,"1,2","1,8",0,1200
3/10/2025 5:00,"-0,2",99,1,"1,6",0,1700
3/10/2025 6:00,"-1,8",99,1,2,0,2100
3/10/2025 7:00,"-1,7",99,"1,5","2,4",0,1900
3/10/2025 8:00,"0,8",100,2,"2,9",0,3200
3/10/2025 9:00,"3,9",88,"2,1","3,3",0,9000
3/10/2025 10:00,"7,5",73,"2,1","3,2",0,13000
3/10/2025 11:00,"9,6",59,"2,8","5,8",0,15000
3/10/2025 12:00,"11,2",51,"3,1","5,5",0,20000
3/10/2025 13:00,"12,7",51,"2,5","4,3",0,18000
3/10/2025 14:00,"12,1",47,"3,6","6,2",0,18000
3/10/2025 15:00,"12,2",52,"3,1","5,2",0,24000
3/10/2025 16:00,12,57,"3,2","6,9",0,30000
3/10/2025 17:00,"11,2",62,"2,3","3,9",0,40000
3/10/2025 18:00,"9,4",70,"1,8","3,8",0,30000
3/10/2025 19:00,"7,8",83,"2,5",4,0,25000
3/10/2025 20:00,"5,8",92,2,"3,6",0,19000
3/10/2025 21:00,"4,9",95,"1,8","3,5",0,14000
3/10/2025 22:00,"4,8",97,"3,1","6,1",0,2700
3/10/2025 23:00,"4,2",99,"1,9","4,9",0,1100
3/11/2025 0:00,"4,6",100,"2,3",5,0,1300
3/11/2025 1:00,"3,8",99,"3,1","5,8",0,7000
3/11/2025 2:00,"3,5",96,"2,6",5,0,13000
3/11/2025 3:00,"3,5",95,"2,1","3,8",0,14000
3/11/2025 4:00,"3,4",95,"2,2","3,9",0,11000
3/11/2025 5:00,"3,1",95,"2,4","4,6",0,13000
3/11/2025 6:00,"3,2",93,"1,7","3,1",0,14000
3/11/2025 7:00,"2,8",95,"2,1","3,7",0,9000
3/11/2025 8:00,"2,9",95,"0,6","1,1",0,9000
3/11/2025 9:00,"3,5",93,"1,2","2,9",0,8000
3/11/2025 10:00,"3,9",93,"2,3","4,2",0,8000
3/11/2025 11:00,"3,6",95,"1,1",2,0,5000
3/11/2025 12:00,"4,1",90,"2,1","3,3",0,10000
3/11/2025 13:00,"3,7",94,"0,8","1,6","0,1",4400
3/11/2025 14:00,"3,6",98,"1,9","3,4","2,5",3400
3/11/2025 15:00,"3,9",98,1,"2,1","0,6",9000
3/11/2025 16:00,"4,2",97,"2,5","3,9",0,8000
3/11/2025 17:00,"3,7",98,"1,2",2,0,3300
3/11/2025 18:00,4,98,"1,5","2,9","0,3",5000
3/11/2025 19:00,"3,8",99,"1,7","3,8",0,700
3/11/2025 20:00,4,100,"2,2","3,6","0,3",1100
3/11/2025 21:00,"3,9",100,"3,6","5,6","0,3",2700
3/11/2025 22:00,"3,1",99,2,"2,9","0,5",9000
3/11/2025 23:00,"2,5",97,2,"2,9","1,1",4700
3/12/2025 0:00,"2,2",98,"0,7","1,5","0,8",11000
3/12/2025 1:00,2,96,1,"1,9","0,3",22000
3/12/2025 2:00,2,97,"1,9","2,7",0,16000
3/12/2025 3:00,"1,9",97,"1,4",2,0,22000
3/12/2025 4:00,"1,8",97,"1,2","1,6","0,1",21000
3/12/2025 5:00,"1,2",99,1,"1,9",0,11000
3/12/2025 6:00,"1,6",99,"1,6",3,0,11000
3/12/2025 7:00,"1,5",99,1,"1,9",0,7000
3/12/2025 8:00,2,99,"2,6","3,7",0,15000
3/12/2025 9:00,"2,3",96,"2,4","4,1",0,30000
3/12/2025 10:00,"2,8",94,"2,7","3,6",0,23000
3/12/2025 11:00,"3,6",88,"3,2","4,6",0,35000
3/12/2025 12:00,4,84,"2,9","4,1",0,45000
3/12/2025 13:00,"4,5",80,"2,4","3,6",0,45000
3/12/2025 14:00,"4,8",78,"3,6","5,5",0,50000
3/12/2025 15:00,"4,7",74,"4,8","6,9",0,50000
3/12/2025 16:00,"4,9",69,"3,5",5,0,50000
3/12/2025 17:00,"4,9",72,"3,3","4,5",0,50000
3/12/2025 18:00,"4,4",81,"2,4","4,1",0,50000
3/12/2025 19:00,"2,8",91,"3,8","4,9","0,2",11000
3/12/2025 20:00,"2,7",93,"3,3","4,9","0,4",30000
3/12/2025 21:00,"2,5",95,"1,4","2,1","0,1",50000
3/12/2025 22:00,"2,3",95,"2,5","3,4",0,40000
3/12/2025 23:00,"1,8",97,"0,9","1,8",0,17000
3/13/2025 0:00,"1,8",97,"1,4",2,0,40000
3/13/2025 1:00,"1,5",98,"0,7","1,1",0,9000
3/13/2025 2:00,"0,9",98,"0,6","0,9",0,5000
3/13/2025 3:00,"1,2",99,"0,6","0,8",0,5000
3/13/2025 4:00,"1,3",99,"0,8","1,1",0,6000
3/13/2025 5:00,"1,1",99,"0,5","0,8",0,3200
3/13/2025 6:00,"1,2",100,"0,9","1,9",0,6000
3/13/2025 7:00,"1,3",100,"0,7","1,2",0,5000
3/13/2025 8:00,"1,4",100,"0,5","1,2",0,15000
3/13/2025 9:00,2,100,"1,4","2,5",0,14000
3/13/2025 10:00,"2,1",95,"1,6","2,9",0,30000
3/13/2025 11:00,"2,9",89,"1,8",3,0,30000
3/13/2025 12:00,"3,1",85,"2,3",4,0,30000
3/13/2025 13:00,"3,7",80,2,"4,1",0,45000
3/13/2025 14:00,"2,9",82,"1,2","2,5",0,35000
3/13/2025 15:00,"1,8",92,"2,3",4,"0,6",11000
3/13/2025 16:00,"2,7",89,"2,1","3,9",0,40000
3/13/2025 17:00,"2,2",87,"1,8","2,6",0,50000
3/13/2025 18:00,"1,9",95,"1,2","2,3","0,2",18000
3/13/2025 19:00,"1,6",94,"2,1","3,6",0,19000
3/13/2025 20:00,"1,5",95,"1,6","3,2",0,19000
3/13/2025 21:00,"1,6",92,"2,6","5,3",0,30000
3/13/2025 22:00,"1,3",89,"3,6","6,3",0,35000
3/13/2025 23:00,"0,9",92,"3,6","6,9",0,30000
3/14/2025 0:00,"0,4",94,"2,4","4,2",0,14000
3/14/2025 1:00,"-0,2",94,"2,8","5,7",0,16000
3/14/2025 2:00,"-0,6",93,3,"5,7","0,1",21000
3/14/2025 3:00,"-0,8",91,"3,1","5,9",0,40000
3/14/2025 4:00,-1,90,"2,6","4,5",0,30000
3/14/2025 5:00,-1,86,"2,9","4,7",0,50000
3/14/2025 6:00,"-1,1",84,"2,4","5,1",0,50000
3/14/2025 7:00,"-1,9",85,"2,2","3,6",0,50000
3/14/2025 8:00,"-1,5",82,"1,8","3,2",0,50000
3/14/2025 9:00,"-0,1",63,"4,4","7,6",0,45000
3/14/2025 10:00,"1,5",55,"4,3",9,0,40000
3/14/2025 11:00,"2,1",52,"4,5","7,5",0,45000
