dataset,test_size,horizon,order,seasonal_order,iter,mae,mse,rmse,smape
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",4,2.013,5.086,2.255,9.692
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",5,3.227,13.324,3.65,14.655
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",6,4.321,21.558,4.643,18.996
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",7,2.884,12.767,3.573,12.297
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",8,4.68,36.622,6.052,18.583
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",9,8.177,83.843,9.157,33.432
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",10,7.693,65.359,8.084,30.071
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",11,3.94,19.979,4.47,14.132
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",12,2.297,9.212,3.035,7.975
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",13,2.966,12.505,3.536,10.184
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",14,3.034,11.281,3.359,10.415
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",15,4.038,26.86,5.183,13.564
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",16,10.699,163.626,12.792,35.495
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",17,11.855,210.993,14.526,34.267
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",18,19.341,591.018,24.311,46.691
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",19,27.037,1184.444,34.416,51.988
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",20,35.279,1711.124,41.366,60.066
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",0,39.639,2642.221,51.403,93.554
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",1,42.951,2927.864,54.11,110.863
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",2,42.25,2828.267,53.181,107.149
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",3,35.76,2220.65,47.124,76.504
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",4,32.209,1893.439,43.514,63.059
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",5,30.784,1729.584,41.588,58.325
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",6,29.632,1577.289,39.715,54.788
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",7,32.131,1841.945,42.918,62.653
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",8,35.301,2110.64,45.942,73.827
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",9,41.396,2628.185,51.266,98.694
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",10,47.291,3161.957,56.231,127.693
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",11,48.629,3260.052,57.097,133.933
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",12,44.08,2808.788,52.998,109.469
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",13,38.561,2331.412,48.285,84.847
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",14,35.743,2099.675,45.822,73.586
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",15,34.322,1977.279,44.467,68.194
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",16,33.641,1906.376,43.662,65.072
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",17,33.249,1853.756,43.055,63.338
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",18,32.115,1752.153,41.859,59.028
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",19,30.789,1647.412,40.588,53.459
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",20,30.377,1603.254,40.041,50.605
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",21,27.41,1213.937,34.842,42.05
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",22,27.652,1112.038,33.347,41.461
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",23,28.005,979.985,31.305,40.866
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",24,32.026,1355.206,36.813,44.762
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",25,32.3,1351.106,36.757,45.045
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",26,34.504,1564.272,39.551,47.173
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",27,35.689,1726.52,41.551,48.214
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",28,30.816,1147.751,33.878,43.718
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",29,31.951,1215.713,34.867,44.84
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",30,32.272,1212.161,34.816,45.258
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",31,33.751,1371.761,37.037,46.437
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",32,38.145,2251.906,47.454,49.419
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",33,44.037,3017.337,54.93,53.8
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",34,47.953,3402.131,58.328,56.659
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",35,43.59,2909.776,53.942,53.532
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",36,45.123,3042.06,55.155,54.709
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",37,35.333,1885.301,43.42,47.275
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",38,41.185,2569.371,50.689,51.953
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",39,41.284,2523.552,50.235,52.361
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",40,31.99,1311.563,36.216,44.817
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",41,31.086,1154.306,33.975,44.113
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",42,30.506,1113.267,33.366,43.52
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",43,31.043,1284.273,35.837,44.54
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",44,33.861,1739.912,41.712,49.249
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",45,34.701,1776.758,42.152,50.441
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",46,36.452,1938.232,44.025,52.656
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",47,41.821,2690.427,51.869,62.349
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",48,49.609,3577.888,59.815,80.515
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",49,56.117,4252.054,65.208,98.089
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",50,56.117,4212.247,64.902,95.672
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",51,49.983,3479.728,58.989,76.919
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",52,47.077,3064.012,55.354,68.601
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",53,47.507,3039.439,55.131,68.634
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",54,47.181,2912.685,53.969,67.302
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",55,50.22,3232.091,56.851,72.7
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",56,51.762,3352.298,57.899,75.151
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",57,57.666,4057.679,63.7,87.233
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",58,61.224,4440.221,66.635,94.477
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",59,59.601,4149.716,64.418,88.878
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",60,64.279,4683.004,68.432,98.934
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",61,67.21,4988.138,70.627,104.801
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",62,61.35,4169.861,64.574,89.382
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",63,57.313,3628.187,60.234,79.74
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",64,42.742,2121.525,46.06,52.666
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",65,47.106,2481.953,49.819,59.685
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",66,33.299,1347.661,36.711,38.113
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",67,40.701,1893.055,43.509,49.139
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",68,29.813,1111.216,33.335,33.245
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",69,12.752,251.953,15.873,13.059
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",70,13.143,302.698,17.398,13.349
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",71,20.574,617.877,24.857,19.761
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",72,24.899,833.334,28.868,23.2
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",73,27.748,996.097,31.561,25.41
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",74,37.574,1666.565,40.824,32.598
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",75,14.789,366.8,19.152,14.818
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",76,24.974,830.575,28.82,23.345
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",77,12.844,267.102,16.343,13.08
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",78,13.023,287.543,16.957,13.209
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",79,17.433,478.32,21.871,17.076
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",80,13.737,324.371,18.01,13.822
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",81,16.903,447.511,21.154,16.601
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",82,21.013,617.234,24.844,20.04
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",83,14.296,336.142,18.334,14.315
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",84,12.629,254.057,15.939,12.894
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",85,12.683,258.125,16.066,12.936
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",86,12.727,262.494,16.202,12.965
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",87,14.716,329.949,18.164,15.108
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",88,16.586,395.98,19.899,17.225
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",89,31.233,1244.849,35.282,35.37
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",90,16.406,386.374,19.656,17.255
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",91,26.716,948.738,30.802,29.394
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",92,21.047,576.827,24.017,22.642
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",93,25.981,882.722,29.711,28.581
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",94,25.241,812.389,28.502,27.559
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",95,19.18,505.688,22.488,20.206
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",96,20.66,688.011,26.23,20.473
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",97,20.008,649.818,25.492,19.912
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",98,19.389,612.772,24.754,19.354
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",99,19.825,622.658,24.953,20.286
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",100,19.486,622.656,24.953,19.315
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",101,19.734,636.225,25.224,19.486
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",102,20.383,654.931,25.592,20.028
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",103,19.749,629.928,25.098,19.49
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",104,20.914,686.987,26.21,20.718
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",105,20.128,638.435,25.267,19.768
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",106,23.829,831.989,28.844,23.459
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",107,20.922,668.608,25.857,20.438
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",108,23.978,818.67,28.612,23.462
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",109,20.455,648.474,25.465,19.926
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",110,24.161,815.776,28.562,23.659
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",111,20.934,665.33,25.794,20.42
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",112,21.807,737.465,27.156,21.16
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",113,21.829,716.668,26.771,21.467
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",114,22.579,732.522,27.065,22.435
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",115,23.69,778.93,27.909,23.74
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",116,35.111,1745.181,41.775,36.177
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",117,33.274,1540.028,39.243,33.996
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",118,32.373,1419.376,37.675,32.912
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",119,35.566,1703.877,41.278,36.359
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",120,23.149,781.892,27.962,22.82
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",121,27.212,1153.808,33.968,25.893
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",122,37.737,2092.908,45.748,33.123
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",123,31.204,1504.116,38.783,28.731
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",124,29.458,1314.236,36.252,27.524
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",125,24.801,879.875,29.663,24.086
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",126,25.23,893.594,29.893,24.5
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",127,27.555,1119.92,33.465,26.282
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",128,26.484,984.381,31.375,25.526
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",129,25.347,899.004,29.983,24.623
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",130,26.794,1032.892,32.139,26.048
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",131,26.988,984.289,31.373,26.402
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",132,28.633,1141.441,33.785,28.261
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",133,29.6,1189.503,34.489,29.474
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",134,29.4,1120.101,33.468,29.469
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",135,30.781,1220.529,34.936,31.103
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",136,31.386,1230.332,35.076,31.943
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",137,31.702,1314.064,36.25,32.368
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",138,38.415,2431.747,49.313,39.564
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",139,39.747,2563.994,50.636,41.376
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",140,41.436,2720.291,52.156,43.794
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",141,41.497,2683.307,51.801,43.765
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",142,44.098,2938.629,54.209,47.565
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",143,41.438,2657.086,51.547,43.611
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",144,29.629,1118.375,33.442,29.394
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",145,43.034,2706.501,52.024,38.713
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",146,42.142,2549.064,50.488,38.353
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",147,38.908,2095.926,45.781,36.513
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",148,49.018,3258.094,57.08,43.076
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",149,62.591,4913.14,70.094,51.28
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",150,44.852,2707.433,52.033,40.665
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",151,55.875,3951.072,62.858,47.579
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",152,44.564,2644.886,51.428,40.515
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",153,36.418,1840.61,42.902,34.904
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",154,34.151,1626.736,40.333,33.232
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",155,32.25,1449.115,38.067,31.794
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",156,43.414,2495.189,49.952,39.764
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",157,33.703,1577.752,39.721,32.928
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",158,34.571,1622.007,40.274,33.637
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",159,26.65,978.067,31.274,27.31
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",160,28.294,1110.69,33.327,28.733
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",161,25.216,879.069,29.649,26.001
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",162,24.514,904.926,30.082,25.226
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",163,31.331,1556.953,39.458,33.285
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",164,31.901,1569.433,39.616,33.823
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",165,35.703,1876.487,43.318,38.705
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",166,34.664,1744.437,41.766,36.929
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",167,32.979,1576.363,39.703,34.627
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",168,23.183,778.294,27.898,22.97
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",169,26.021,1065.014,32.635,25.156
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",170,48.997,2987.235,54.656,41.109
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",171,60.458,4253.068,65.216,48.001
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",172,61.3,4292.039,65.514,48.579
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",173,36.824,1868.813,43.23,33.227
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",174,52.057,3199.499,56.564,43.19
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",175,25.753,1132.618,33.654,25.088
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",176,24.539,790.472,28.115,25.093
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",177,23.422,690.06,26.269,23.667
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",178,22.809,650.789,25.511,22.875
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",179,24.034,700.372,26.465,24.011
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",180,36.924,1786.381,42.266,39.368
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",181,55.308,3710.685,60.915,67.021
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",182,51.693,3246.577,56.979,60.643
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",183,53.235,3358.67,57.954,62.943
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",184,46.991,2665.517,51.629,52.668
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",185,59.271,3964.9,62.967,71.675
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",186,42.548,2186.95,46.765,45.645
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",187,29.626,1105.017,33.242,28.944
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",188,31.497,1212.526,34.821,31.124
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",189,27.193,887.707,29.794,25.992
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",190,30.293,1086.492,32.962,29.435
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",191,20.396,506.127,22.497,18.561
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",192,47.331,2514.711,50.147,50.267
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",193,47.994,2638.205,51.363,49.69
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",194,52.479,3116.315,55.824,54.592
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",195,45.759,2456.731,49.565,44.946
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",196,33.712,1485.863,38.547,30.365
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",197,39.389,1920.661,43.825,36.237
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",198,17.112,577.295,24.027,13.433
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",199,30.189,1297.921,36.027,25.467
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",200,15.002,488.759,22.108,11.2
